,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
480,2016-04-24,227.59583333333333,238.27625,67.72958333333334,1.0887499999999999,23.171666666666667,31.495,5.8
481,2016-04-25,226.38125,231.37333333333333,71.91541666666667,1.0795833333333333,23.186666666666667,30.980833333333333,5.097083333333333
482,2016-04-26,216.01874999999998,196.32708333333335,92.97291666666666,1.0279166666666668,23.198333333333334,30.567916666666665,4.370833333333334
483,2016-04-27,224.16916666666668,227.04583333333335,74.21625,1.0766666666666667,23.206249999999997,30.368333333333336,4.159166666666667
484,2016-04-28,227.61166666666668,240.9575,65.235,1.1008333333333333,23.212500000000002,30.480416666666667,4.607083333333333
485,2016-04-29,225.91375000000002,236.39041666666665,67.94500000000001,1.0945833333333332,23.217916666666667,30.513333333333335,4.52875
486,2016-04-30,225.80041666666668,235.98083333333332,67.925,1.095,23.220416666666665,30.432083333333335,4.88875
487,2016-05-01,215.58291666666665,205.40666666666667,84.47041666666667,1.0408333333333333,23.220833333333335,30.563333333333333,5.158333333333333
488,2016-05-02,215.51999999999998,207.58166666666668,82.56958333333334,1.0425,23.219583333333333,31.056250000000002,5.03875
489,2016-05-03,215.6875,204.97125000000003,84.18125,1.0420833333333335,23.218333333333334,30.999166666666667,5.090416666666667
490,2016-05-04,211.5275,194.03333333333333,89.71291666666667,1.0204166666666665,23.215,30.871666666666666,4.847083333333333
491,2016-05-05,211.215,195.3970833333333,88.34416666666668,1.02,23.210833333333337,30.735,4.4279166666666665
492,2016-05-06,140.1575,80.40541666666667,108.99874999999999,0.6691666666666666,23.205833333333334,30.343333333333334,3.595
493,2016-05-07,208.49,191.7975,89.97208333333333,1.0154166666666666,23.199166666666667,30.787916666666664,3.8275
494,2016-05-08,201.4020833333333,169.96583333333334,102.89999999999999,0.98625,23.191666666666666,30.87708333333333,3.2737499999999997
495,2016-05-09,159.74875,115.38625,100.83208333333334,0.7658333333333333,23.184583333333332,30.635,3.12875
496,2016-05-10,204.04916666666668,182.40666666666667,93.34458333333333,0.9983333333333334,23.176666666666666,30.776666666666667,3.11375
497,2016-05-11,190.86916666666664,145.41416666666666,113.51375,0.9349999999999999,23.1675,30.252499999999998,3.345
498,2016-05-12,207.6725,185.08333333333334,93.68708333333332,1.015,23.157916666666665,30.629583333333333,4.735833333333333
499,2016-05-13,200.11541666666665,169.1175,102.91208333333333,0.9874999999999999,23.147916666666664,31.27208333333333,4.030833333333333
500,2016-05-14,209.5616666666667,200.19083333333333,83.43374999999999,1.0366666666666666,23.137083333333333,31.05666666666667,3.703333333333333
501,2016-05-15,199.36833333333334,164.00291666666666,105.01958333333333,0.9791666666666666,23.125833333333333,30.035,3.1058333333333334
502,2016-05-16,133.63708333333332,57.78791666666667,121.05916666666667,0.6341666666666667,23.114583333333332,28.034166666666668,4.431666666666667
503,2016-05-17,28.57375,0.0,43.28958333333333,0.14958333333333332,23.10375,26.27333333333333,6.655
504,2016-05-18,16.44875,0.0,28.012916666666666,0.09625,23.0925,26.92833333333333,6.526666666666667
505,2016-05-19,60.42208333333334,1.73625,83.10083333333334,0.2925,23.080833333333334,28.607916666666668,4.79875
506,2016-05-20,146.61458333333334,57.205000000000005,140.39458333333332,0.7033333333333333,23.067916666666665,30.680833333333336,4.0808333333333335
507,2016-05-21,210.33208333333334,210.5716666666667,72.55958333333334,1.0416666666666667,23.056250000000002,30.534166666666668,4.877083333333333
508,2016-05-22,204.51041666666666,209.22833333333335,69.24708333333334,1.0291666666666666,23.04375,31.03625,4.3775
509,2016-05-23,198.13875,183.23208333333332,90.00666666666666,1.0066666666666666,23.032083333333333,31.109583333333333,4.100416666666667
