time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160220:2246,0.0,0.0,0.0,0.0,0.0,24.42,1.66,0.0
20160220:2346,0.0,0.0,0.0,0.0,0.0,24.25,1.66,0.0
20160221:0046,0.0,0.0,0.0,0.0,0.0,23.92,1.72,0.0
20160221:0146,98.33,98.16,59.4,0.43,10.08,24.94,1.72,0.0
20160221:0246,283.84,215.75,158.58,1.14,24.17,26.69,2.07,0.0
20160221:0346,525.43,575.52,116.03,2.12,37.81,27.86,1.79,0.0
20160221:0446,650.62,751.99,134.28,2.76,50.55,29.05,1.31,0.0
20160221:0546,709.22,790.49,195.23,3.1,61.15,30.05,1.38,0.0
20160221:0646,740.22,805.33,218.65,3.23,66.51,30.95,2.21,0.0
20160221:0746,741.5,838.13,177.14,3.2,63.27,31.36,2.83,0.0
20160221:0846,669.59,716.47,179.06,2.82,53.65,31.22,3.52,0.0
20160221:0946,547.25,559.4,156.22,2.24,41.31,30.65,4.07,0.0
20160221:1046,372.25,367.88,118.96,1.5,27.84,29.67,4.34,0.0
20160221:1146,143.13,131.65,80.8,0.63,13.84,28.58,4.41,0.0
20160221:1246,0.0,0.0,0.0,0.0,0.0,27.47,4.07,0.0
20160221:1346,0.0,0.0,0.0,0.0,0.0,26.78,4.0,0.0
20160221:1446,0.0,0.0,0.0,0.0,0.0,26.4,3.72,0.0
20160221:1546,0.0,0.0,0.0,0.0,0.0,26.09,3.38,0.0
20160221:1646,0.0,0.0,0.0,0.0,0.0,25.81,3.17,0.0
20160221:1746,0.0,0.0,0.0,0.0,0.0,25.53,2.76,0.0
20160221:1846,0.0,0.0,0.0,0.0,0.0,25.49,2.41,0.0
20160221:1946,0.0,0.0,0.0,0.0,0.0,25.11,2.07,0.0
20160221:2046,0.0,0.0,0.0,0.0,0.0,24.54,1.79,0.0
20160221:2146,0.0,0.0,0.0,0.0,0.0,23.96,1.66,0.0
20160221:2246,0.0,0.0,0.0,0.0,0.0,23.69,1.79,0.0
20160221:2346,0.0,0.0,0.0,0.0,0.0,23.66,1.86,0.0
20160222:0046,0.0,0.0,0.0,0.0,0.0,23.62,1.86,0.0
20160222:0146,100.57,101.21,59.37,0.44,10.2,24.62,1.86,0.0
20160222:0246,336.8,345.41,96.58,1.31,24.31,26.67,2.69,0.0
20160222:0346,532.29,577.29,115.85,2.13,37.99,28.13,2.9,0.0
20160222:0446,668.46,752.55,135.15,2.77,50.78,29.3,3.1,0.0
20160222:0546,756.71,885.18,136.81,3.21,61.46,30.25,3.38,0.0
20160222:0646,776.82,870.6,179.23,3.32,66.88,30.66,3.86,0.0
20160222:0746,758.13,839.81,176.95,3.21,63.57,30.85,4.28,0.0
20160222:0846,679.34,718.24,178.86,2.83,53.86,30.59,4.48,0.0
20160222:0946,545.13,539.52,168.3,2.22,41.45,30.06,4.62,0.0
20160222:1046,373.36,368.83,117.71,1.5,27.94,29.21,4.62,0.0
20160222:1146,144.38,131.98,81.68,0.64,13.92,28.08,4.34,0.0
20160222:1246,0.0,0.0,0.0,0.0,0.0,26.81,3.79,0.0
20160222:1346,0.0,0.0,0.0,0.0,0.0,26.01,3.59,0.0
20160222:1446,0.0,0.0,0.0,0.0,0.0,25.56,3.38,0.0
20160222:1546,0.0,0.0,0.0,0.0,0.0,25.25,3.17,0.0
20160222:1646,0.0,0.0,0.0,0.0,0.0,24.96,2.9,0.0
20160222:1746,0.0,0.0,0.0,0.0,0.0,24.71,2.83,0.0
20160222:1846,0.0,0.0,0.0,0.0,0.0,24.45,2.83,0.0
20160222:1946,0.0,0.0,0.0,0.0,0.0,24.24,2.55,0.0
20160222:2046,0.0,0.0,0.0,0.0,0.0,24.04,2.55,0.0
20160222:2146,0.0,0.0,0.0,0.0,0.0,23.95,2.48,0.0
20160222:2246,0.0,0.0,0.0,0.0,0.0,24.19,2.62,0.0
20160222:2346,0.0,0.0,0.0,0.0,0.0,24.27,2.69,0.0
20160223:0046,0.0,0.0,0.0,0.0,0.0,24.55,2.76,0.0
20160223:0146,95.56,87.05,64.79,0.43,10.32,25.17,2.83,0.0
20160223:0246,331.19,323.28,108.75,1.29,24.46,26.5,3.59,0.0
20160223:0346,531.94,558.0,128.2,2.11,38.17,27.72,3.72,0.0
20160223:0446,676.04,754.19,134.97,2.78,51.02,28.88,3.79,0.0
20160223:0546,764.73,886.73,136.64,3.22,61.77,29.59,3.86,0.0
20160223:0646,790.62,905.55,158.27,3.36,67.25,29.92,4.0,0.0
20160223:0746,761.22,840.4,177.8,3.22,63.88,29.99,4.14,0.0
